Stock Code,Company Name
2800,????
2800,????
0001,??
0001,??
0019,??a
0019,??a
0087,??b 
0087,??b 
0087,??b 
0087,??b 
0026,China motor bus
0012,??????
0017,????? (New World Development)
0083,???? (Sino Land)
0251,SEAI ??
0823,???????????
9988,Alibaba 
9618,JD.com Inc
0002,??
0002,??
0002,??
0002,??
0006,Power asset 
0003,??
0883,??????
0005,HSBC 
0005,HSBC 
0011,??
0023,BEA
0023,BEA
0023,BEA
2888,??
3988,??
3988,??
3988,BOC
6818,China Everbright Bank Co Ltd
0066,MTR
0066,MTR
0066,MTR
0066,MTR
0026,????
0293,Cathay
0941,???
0941,???
0941,???
0008,PCCW
0046,Computer and Technologies Holdings Limited
0374,????
0345,Vitasoy
0052,Fairwood Holdings Ltd (0052)
0341,???
6811,Tai Heng
0883,CNOOC Ltd
1919,COSCO SHIPPING Holdings Co Ltd
1109,China Resources Land Ltd
0857,PetroChina Co Ltd
1898,China Coal Energy Co Ltd
1211,BYD Company Limited
0819,Tianneng Power International Limited
6960,"Shuangdeng Group Co., Ltd."
3931,"CALB Group Co., Ltd."
0476,Ev Dynamics (Holdings) Limited
3677,"Jiangsu Zenergy Battery Technologies Group Co., Ltd."
3750,Contemporary Amperex Technology Co. Limited (CATL)
0951,Chaowei Power Holdings Limited
0729,FDG Electric Vehicles Limited
